Lyhenne,Lentoasema,"Lämpötila, C",Metadata
WJR  HKWJ,Wajir Airport,37.0,HKWJ 311200Z
ISA  YBMA,Mount Isa Airport,35.0,YBMA 311200Z
GOU  FKKR,Garoua International Airport,34.0,FKKR 311200Z
KGI  YPKG,Kalgoorlie Boulder Airport,34.0,YPKG 311200Z
DLA  FKKD,Douala International Airport,33.0,FKKD 311200Z
